LINE_PRICE	CUST_CODE	CUST_FNAME	LINE_QTY	CUST_LNAME	CUST_STREET	PROD_SKU	CUST_CITY	INV_TOTAL	CUST_STATE	LINE_NUM	CUST_ZIP	INV_NUM	CUST_BALANCE	EMPLOYEE_ID	INV_DATE
17.79	101	LEONORA	3	FARRELL	2 EAST DOWLING ROAD	4153-VMO	Reese	53.37	NC	1	28692	3204	2949.67	83964	41629
8.99	102	EVA	3	KAISER	1084 LUNAR CIRCLE	7538-ITC	Queen	105.24	PA	3	16670	2026	1233.12	83993	41505
21.99	103	CORRINA	4	GIFFORD	1651 HIGHTOWER ROAD	7532-PYJ	Hampden	229.84	WV	5	25623	3123	2122.07	84306	41620
21.59	104	THAD	2	RUIZ	966 VALARIAN STREET	5379-BLX	Pine	43.18	NY	1	12203	2820	495.41	83593	41589
6.59	105	FRANCIS	4	TRUJILLO	1921 WEST 74TH AVENUE	1045-DUY	Neelyton	245.38	PA	5	17239	977	2019.38	83763	41396
4.29	106	MELONIE	3	JIMENEZ	848 DOWNEY FINCH LANE	2410-SKH	East Monkton	153.26	VT	5	5443	1826	1265.16	84392	41485
29.99	107	RAY	1	KEYES	303 TEEKOANA CIRCLE	4987-BFL	Cliftonville	126.93	MS	3	39739	1086	589.23	84364	41407
7.49	108	GONZALO	5	WHITNEY	1567 WALLACE MOUNTAIN ROAD	6041-PBS	Crescent Beach	160.17	FL	3	34242	3108	1123.4	83565	41619
7.59	109	SAL	3	STRATTON	985 OSTOVIA CIRCLE	2200-DAI	Harts Store	234.2	NC	6	27022	2989	0	84334	41606
6.59	110	CRISTINA	3	SOSA	904 PINNACLE CIRCLE	2366-EFV	Cran Nav Dpo	19.77	IN	1	47522	2075	0	83906	41511
11.99	111	JOSE	1	CASE	640 WEST 71ST COURT	6249-LYB	Wyano	99.95	PA	2	15695	2899	0	83936	41597
23.99	112	LAN	5	NICHOLS	367 LAKEVIEW DRIVE	7231-UES	Pittsburgh	380.82	PA	6	15262	2727	4760.14	84191	41580
8.99	113	KORY	4	GOULD	1949 HUMPHREY DRIVE	7538-ITC	Cochecton	35.96	NY	1	12726	1095	657.57	84106	41408
20.59	114	MIRIAN	1	DIAMOND	1432 POTTER GLEN CIRCLE	3701-YAW	Nauvoo	227.67	PA	6	16938	685	0	84392	41366
9.99	115	STACIE	5	SCHMITZ	704 WOODLAND DRIVE	6596-HOO	Little Hocking	76.92	OH	2	45742	1904	1989.53	84392	41493
29.99	116	STEPHAINE	3	MOSLEY	1372 LOREN CIRCLE	9955-WWB	Saint Paris	274.4	OH	5	43072	1551	749.61	84219	41456
35.99	117	KARON	4	MATA	1073 FERN CIRCLE	5508-OUB	Bay State	483.05	MA	6	1060	3399	3009.63	84276	41649
21.99	118	JESSE	1	HICKS	614 SOUTH AIRPARK DRIVE	8543-RJN	Bay Head	143.3	NJ	5	8742	3381	3058.55	83705	41647
35.99	119	MATTIE	1	VERNON	548 FALLING WATER DRIVE	3393-AZQ	Simsbury	35.99	CT	1	6092	1304	1615.78	84163	41430
29.99	120	BRADLEY	1	BRYAN	1153 TOBUK CIRCLE	2351-WVS	Philadelphia	323.84	PA	5	19116	2521	1230.92	83734	41558
6.59	121	PETER	5	SMALL	1904 GLENN NB OFF MULDOON SB RAMP	8544-CIQ	Methodist Mem Home	32.95	IN	1	46792	2892	341.55	84334	41596
16.99	122	JANNETTE	3	MCCARTHY	1450 ORCA PLACE	3258-RVB	Millwood	283.46	GA	5	31552	2148	1811.67	84334	41519
11.99	123	SHANTELL	4	DRAKE	1901 STERLING WAY	9324-PPG	Quaker City	47.96	OH	1	43773	227	299.78	84191	41317
8.49	124	LINDSAY	4	BARRERA	496 DEGAN STREET	4949-VFI	Gray	197.87	KY	4	40734	1454	0	83677	41446
4.59	125	FLORENTINO	5	ROJAS	1211 JESSE LEE COURT	4900-YSQ	Merrill	271.85	NY	5	12955	1353	81.57	83705	41435
38.99	126	DOLLY	3	MICHAEL	1359 SWEETWATER CIRCLE	2455-ZKN	Borden Shaft	636.21	MD	5	21532	3058	3341.8	83537	41614
32.99	127	CORRINA	5	DENNIS	1021 CARNABY WAY	2857-NDO	Hartleyville	407.9	IN	2	47421	2836	1039.74	83677	41591
48.59	128	REGGIE	2	CAREY	644 INNES CIRCLE	9126-PWF	Harrisburg	105.16	PA	2	17128	1403	2050.86	84306	41441
11.99	129	MANUEL	5	CARROLL	1768 ANCHOR PARK CIRCLE	6651-ICK	Williston Park	187.87	NY	4	11596	1241	866.75	84078	41424
18.99	130	REYES	5	MANUEL	1180 NIKITA DRIVE	1485-NNI	Mount Ayr	94.95	IN	1	47964	2781	1945.15	83537	41585
15.29	131	SAL	4	WHALEY	1715 ADAK CIRCLE	2068-TSC	Montezuma	81.55	GA	2	31063	912	1397.44	84078	41390
17.99	132	JANIS	5	DUBOIS	563 BENTREE CIRCLE	9484-UTK	Reading	323.89	PA	3	19606	2490	2015.62	84364	41555
38.99	133	RASHIDA	2	MEDINA	1440 ORCA STREET	2496-QMW	Parks Crossroads	77.98	NC	1	27316	1835	0	83677	41486
13.99	134	LES	1	SOLOMON	1815 BIRCHBARK AVENUE	9268-RCB	Huntington	13.99	WV	1	25708	2784	2442.72	84163	41586
18.99	135	CHRISTINE	2	CAMACHO	885 KILKERRY CIRCLE	5046-TTC	Winding Gulf	133.94	WV	2	25908	2872	1053.95	83677	41594
15.59	136	SID	4	WELSH	1932 CRISWELL CIRCLE	4260-FGB	Edenton	349.43	NC	6	27932	1581	2256.41	83621	41460
7.79	137	CONNIE	2	VELASQUEZ	1302 NORMANSHIRE COURT	3343-DJU	Butlerville	34.16	IN	3	47223	1104	604.69	83705	41409
23.99	138	MALIK	4	MORELAND	1807 FOREST PARK DRIVE	7500-ROG	Foxborough	170.93	MA	2	2035	1242	1339.61	84106	41424
6.59	139	LAVINA	2	CORNELL	137 BRIAR LOOP	8544-CIQ	New York	207.24	NY	6	10130	2280	3099.1	84276	41533
29.99	140	CHRISTOPER	2	OAKES	1719 NORMANSHIRE COURT	2384-PGY	Greensboro	97.93	GA	2	30642	3414	0	83993	41651
48.59	141	ART	3	ALVARADO	603 FINE ARTS LANE	6894-JQV	Baltimore	172.95	MD	2	21214	1003	780.09	83734	41399
23.29	142	DIAN	2	DUKE	1861 BRENDL WAY	1663-CDD	Millers Tavern	196.53	VA	2	23115	1426	0	84248	41443
20.99	143	MOHAMMED	5	RANKIN	13 LINDA JO CIRCLE	1200-KBU	Fernandina Beach	141.52	FL	3	32035	401	810.87	83621	41336
11.99	144	FRANCESCO	3	GOOD	1894 MOUNT KILIAK CIRCLE	8382-HKN	Sea Bright	181.17	NJ	4	7760	2290	0	84364	41534
11.99	145	GEORGIANNA	2	GIBBONS	55 GENEVA PLACE	3943-HFA	Independence	23.98	WV	1	26374	2728	0	84163	41580
34.49	146	JULIA	4	GREENBERG	1416 TALL SPRUCE DRIVE	1580-VCE	Silver Spring	446.8	MD	6	20902	1745	964.5	83763	41476
6.99	147	ZACHARIAH	3	CORREA	261 FISHER DRIVE	6451-KGJ	Bear Branch	216.57	KY	4	41714	1356	1383.62	84106	41436
32.99	148	MAYA	2	ELLIOT	1991 OAK KNOLL DRIVE	2766-EYO	Porter	65.98	PA	1	17980	3380	2421.49	83565	41647
10.99	149	LENARD	4	FARR	1311 CAPTAIN COOK DRIVE	5587-PIP	Leetonia	150.88	PA	3	17727	2998	0	83820	41607
10.99	150	AMY	4	CHO	1540 MARGE COURT	7258-HCV	Paul	75.95	MS	2	38920	1915	997.41	83820	41494
9.99	151	MARGUERITE	4	PUTNAM	427 SAN ROBERTO AVENUE	6596-HOO	Cornish	53.55	NH	2	3745	967	1009.5	84306	41395
31.99	152	LISETTE	1	WHITTAKER	339 NORTHPARK DRIVE	5980-BME	Montgomery	139.22	AL	4	36197	2894	3322.63	83677	41597
34.49	153	JEREMY	2	TOBIN	46 BARBOA CIRCLE	5213-YTB	Walkertown	114.95	KY	3	41701	1000	525.22	83964	41399
13.99	154	DORENE	5	WARD	1363 HEIDE DRIVE	5250-JDL	Panola	69.95	SC	1	29125	2958	1326.23	84191	41603
25.59	155	MARANDA	2	HINKLE	301 VALARIAN STREET	9857-ESX	Lakin	51.18	WV	1	25250	2461	0	84163	41552
14.59	156	JONAS	2	BARRERA	246 CARLINE CIRCLE	9671-NYZ	Princess House	463.45	NC	5	27094	1176	602.18	83649	41417
10.99	157	ROSALINE	4	BENSON	1590 NANTUCKET LOOP	7258-HCV	Hancock	181.06	NH	4	3449	2555	1708.86	84106	41562
12.39	158	SHANELL	1	KOEHLER	1051 PLATSEK DRIVE	2584-CIJ	Bayside Beach	97.6	MD	4	21122	2474	905.78	83792	41554
43.99	159	GRACE	3	SALTER	612 LORI DRIVE	7224-FEU	Austerlitz	401.18	NY	6	12017	1623	3667.46	84276	41464
14.59	160	JUDI	5	FISHER	1421 WELLSLEY COURT	9288-IRF	Columbia	306.17	PA	6	17512	926	0	83565	41391
3.29	161	HORTENCIA	2	HINKLE	1762 KNIK AVENUE	8937-WVA	Dayton	6.58	OH	1	45454	1484	837.11	83850	41450
12.99	162	LOUISA	3	REAGAN	784 LITTLE CAPE CIRCLE	4812-VNN	West Neck	246.77	NY	4	11743	3303	1221.04	83621	41639
13.59	163	MALISSA	2	ACEVEDO	159 BAXTER TERRACE CIRCLE	6626-ROK	Britinay	116.3	MD	3	21234	3196	839.09	83621	41628
16.99	164	MERLE	1	GUNTER	355 SEWARD SB OFF DIMOND RAMP	8170-EKF	Lake Buena Vista	16.99	FL	1	32830	2941	1325.97	83621	41601
17.79	165	MOHAMED	1	RAMSEY	1958 IRIS STREET	4153-VMO	Lafayette	188.7	VA	4	24087	1091	459.57	83763	41407
14.99	166	EARTHA	5	MONROE	1942 REVILLA CIRCLE	7006-IXN	Centreville	376.61	MD	5	21617	3158	1136.24	84392	41624
11.59	167	EVETTE	5	PERRY	986 LAMPERT CIRCLE	6925-KDN	Capitol	57.95	VA	1	23207	2288	124.75	84306	41533
19.99	168	WINIFRED	5	WOODWARD	594 QUEST CIRCLE	7658-HCW	Prompton	502.94	PA	6	18456	1843	2735.75	84219	41487
20.59	169	ROSS	5	LANG	1991 EASTWIND COURT	3701-YAW	Higdon	177.31	AL	2	35979	2851	1223.5	84392	41592
42.99	170	WILBER	4	MURPHY	901 GIDDEON CIRCLE	1403-TUY	East Calais	392.87	VT	4	5640	1661	3139.06	84163	41468
20.99	171	COREY	3	BURKETT	873 EAST 48TH AVENUE	1200-KBU	Asher Glade	226.88	MD	4	21531	1422	1258.93	83537	41443
12.99	172	DARREL	3	DWYER	1914 GLACIER LOOP ROAD	5653-RTU	Savannah	38.97	GA	1	31401	1940	15.28	84392	41496
48.59	173	INGRID	3	HARDY	479 WALDORF WOODS DRIVE	9126-PWF	Enka Village	310.27	NC	5	28728	2658	3509.31	83850	41572
17.99	174	DANIELA	4	MOON	1181 TOLSONA CIRCLE	9484-UTK	Riley	148.44	IN	3	47871	3031	684.82	84334	41611
16.99	175	DORCAS	2	DUNLAP	1157 BOWEN CIRCLE	2990-BNH	Baton	360.96	NC	4	28630	1976	1333.64	83906	41500
21.99	176	TRENTON	1	WINN	251 KIRBY PLACE	1010-MIW	Mausdale	138.22	PA	4	17821	2220	0	84306	41526
23.99	177	IGNACIO	1	HAGAN	1704 KALGIN STREET	7231-UES	Youngstown	180.69	OH	4	44599	1917	0	84049	41494
9.89	178	RHONDA	2	STROUD	95 SNOWBIRD DRIVE	2407-SUX	Pgh	87.55	PA	2	15204	3106	0	84078	41619
12.99	179	SEAN	5	MAYBERRY	943 WHITE BIRCH LANE	3585-MCJ	Toledo	89.93	OH	2	43603	1601	3411.9	83878	41462
8.99	180	KASSANDRA	3	OWENS	1173 SKOOKUM ROAD	5465-YYG	Laurel Hollow	285.59	NY	6	11724	2383	895.56	84276	41544
21.99	181	RICH	5	COKER	1156 RIDGELAKE CIRCLE	7532-PYJ	Fork	229.91	SC	2	29543	3174	0	84191	41626
23.29	182	NILA	2	VALENCIA	1709 CAMAI CIRCLE	1074-VVJ	Cold Spring Highland Heights	311.39	KY	4	41076	2012	394.39	83593	41504
16.99	183	AURORA	3	QUINONES	869 MORNING DRIVE	2990-BNH	Putnam	50.97	VA	1	24260	2589	691.34	83792	41565
7.99	184	DONG	4	MACIAS	265 SUNNY CIRCLE	2129-BCP	Allred	410.21	TN	6	38542	1412	443.37	83537	41442
32.99	185	IRVIN	4	SIZEMORE	1193 CHENA AVENUE	2766-EYO	Rockville Center	259.1	NY	3	11571	1662	3312.59	84306	41468
29.99	186	CARLTON	2	ROLAND	1067 CHUGIAK DRIVE	9838-FUF	Audubon	353.71	NJ	5	8106	3256	1672.7	83705	41634
15.59	187	DOTTIE	2	SEAY	1311 FALLOW CIRCLE	7260-YDI	Vine Grove	31.18	KY	1	40175	2146	0	83763	41518
10.99	188	LUANNE	2	GOODWIN	293 KIANA AVENUE	2006-ZBH	Pinegrove	202.41	AL	6	36507	1951	1967.38	83593	41497
3.29	189	DELFINA	3	MCWILLIAMS	1453 JESTERS CIRCLE	8937-WVA	Newton	418.92	MA	6	2195	2438	381.77	83964	41549
11.99	190	DELMER	5	GRUBBS	1497 KING ARTHUR CIRCLE	9336-MHC	Silver Spring	173.89	MD	3	20908	3266	383.81	84420	41635
14.99	191	SHIRLEY	3	SPRAGUE	621 BAIRD CIRCLE	7006-IXN	Leicester	220.49	NC	4	28748	2597	1233.64	83820	41565
15.89	192	PHILIP	1	GOFF	1683 GLENKERRY CIRCLE	2134-QFE	Hinmans Corners	394.52	NY	6	13905	1580	1401.09	83763	41460
15.59	193	LAVON	1	CALHOUN	4 KIRK AVENUE	7804-ZVW	Wissinoming	56.36	PA	2	19135	2240	0	84021	41528
23.59	194	JORGE	5	MILLER	1998 EAST PRINCE OF PEACE DRIVE	1198-STR	Brooklyn	385.87	NY	3	11230	2584	1269.96	83677	41564
17.99	195	SHERRYL	1	KEENAN	442 DOLLY AVENUE	2262-NBI	Wallis Run	166.9	PA	5	17771	2574	0	83964	41563
20.59	196	DULCE	5	RICHTER	45 CRETE STREET	3701-YAW	Alexandria	398.08	VA	6	22306	3212	645.52	83993	41630
13.59	197	XAVIER	3	CARDENAS	1756 GILL WAY	2379-PCX	Colesville	342.64	MD	6	20914	1644	3737.9	83677	41466
29.99	198	IOLA	2	ALEXANDER	859 RIL WAY	5060-EDB	Clayton	325.88	MI	4	49235	2514	1215.58	84163	41558
36.99	199	SHERMAN	5	OTT	351 REEF PLACE	3716-WZD	Sacandaga	459.63	NY	5	12134	2825	1096.65	83820	41590
15.79	200	ANITA	5	CONKLIN	1044 CORAL REEF PLACE	8909-SPD	Newton	213.38	MA	3	2195	2445	1098.52	83565	41550
13.99	201	IMELDA	2	FIGUEROA	1413 GALATEA DRIVE	8894-LUR	Mccordsville	605.6	IN	6	46055	1829	1525.1	83878	41485
7.59	202	SELINA	4	TANNER	1352 ATKINSON DRIVE	2231-OXK	Largo	310.21	FL	6	34649	2828	1111.92	83906	41590
12.59	203	NICKOLAS	5	STACY	1916 REGINA CIRCLE	1838-LZI	South Royalston	487.62	MA	5	1331	2323	915.36	83993	41537
13.99	204	TITUS	4	MCCLURE	439 EMERALD DRIVE	9268-RCB	Diamond	133.89	NY	3	13659	3241	202.06	84078	41633
19.99	205	VERA	1	CALLAHAN	797 NORTHERN RAVEN DRIVE	9133-OXA	Apple Valley	220.86	OH	5	43028	3340	839.7	83734	41642
13.99	206	DENNY	1	CHANDLER	547 DIMOND D CIRCLE	5250-JDL	Smithfield	111.95	WV	3	26437	2177	567.85	83649	41522
29.99	207	MARILYN	5	SMALLWOOD	1169 MEADOW STREET	5642-IDA	Old Orchard	445.23	MD	4	21228	2442	2939.47	83878	41550
32.89	208	VILMA	1	DENNY	1520 ABBOTT ROAD	6109-ZZO	Green Lane	241.78	PA	6	18054	745	0	84334	41372
22.59	209	SIDNEY	4	CARR	570 CANTERBURY WAY	6249-NDN	Wallingford	344.62	CT	5	6493	2144	1990.51	83649	41518
17.29	210	JANNETTE	2	HARMON	620 KILOANA CIRCLE	5659-BFS	Cinda	34.58	KY	1	41728	1947	0	84248	41497
32.99	211	GERALD	1	CAUDILL	1622 NORTH BLISS STREET	2833-LIV	Oswegatchie	286.47	NY	4	13670	2990	0	83677	41606
3.99	212	HANNAH	4	JARRETT	1589 WEST 43RD AVENUE	1747-XNI	Twin Branch	184.29	WV	3	24889	3078	0	84163	41616
48.59	213	SAMMY	1	GALLAGHER	206 EAGLE STREET	9126-PWF	Clearwater	226.13	SC	3	29822	2305	1326.92	83993	41535
29.99	214	ROSEANN	5	THORPE	472 OXBOW CIRCLE	4045-HUC	Bangor	149.95	PA	1	18010	2924	0	83820	41600
48.59	215	CHARMAINE	5	BRYAN	1181 LAURENCE COURT	6894-JQV	Lake City	242.95	GA	1	30260	3435	3453.84	83705	41653
38.99	216	CATHI	4	PUCKETT	654 KALKA CIRCLE	6865-HAO	Laurel Bay	458.38	SC	6	29902	2107	675.43	84049	41514
13.59	217	TYRON	2	HOLLINGSWORTH	1863 TRAIL STREET	2379-PCX	Alafaya	27.18	FL	1	32834	3000	1029.4	83936	41607
23.29	218	LUPE	2	SANTANA	1292 WEST 70TH PLACE	1663-CDD	Phenix City	270.07	AL	6	36867	2712	1355.29	84392	41578
13.59	219	CATHI	5	WHITEHEAD	760 WOODCLIFF DRIVE	7355-WBT	Huntsville	273.23	AL	4	35893	2895	259.61	83537	41597
34.49	220	ABRAHAM	5	PLATT	1859 GINGER LEE DRIVE	8207-YYG	Sharpes	691.01	FL	6	32959	2338	2187.26	84334	41539
17.99	221	DALTON	4	STAPLES	673 SUGAR CIRCLE	9484-UTK	New Lancaster	158.32	IN	2	46036	3030	282.02	84364	41611
16.99	222	DARELL	4	HAGAN	1066 GINGER LEE DRIVE	3258-RVB	Hecla	315.04	PA	5	17960	1130	795.1	84219	41412
16.99	223	ALPHA	5	OSBORN	1850 W STREET	8170-EKF	Eldora	84.95	NJ	1	8270	1171	357.75	84364	41417
6.59	224	REID	2	BURNETTE	486 DICKSON ROAD	2366-EFV	Knightdale	220.21	NC	6	27545	1916	0	83537	41494
3.49	225	CHRISTI	1	CLARK	546 ANSEL CIRCLE	4667-JLN	Prompton	33.48	PA	2	18456	2889	1532.26	83565	41596
23.99	226	SHELBY	2	SALAS	486 SUSITNA VIEW COURT	3955-NWD	North Tisbury	526.65	MA	6	2568	2038	0	83705	41506
10.99	227	KATIE	1	HEARN	1726 MERE CIRCLE	5445-XOY	Cabin Creek	288.99	WV	4	25035	1320	3760.96	83677	41432
13.59	228	JAUNITA	4	FOOTE	58 ATLANTIS AVENUE	6626-ROK	Pitt	98.34	PA	2	15209	2432	1282.45	84219	41549
3.99	229	ERNESTINE	5	LOZANO	17 BEN COURT	3274-XJX	Putnam	305.09	MD	5	21050	1652	1050.75	84021	41467
17.99	230	MARCIE	4	CHILDERS	936 UNIVERSITY LAKE DRIVE	2262-NBI	Susan	190.69	VA	6	23163	1035	1786.51	83936	41402
23.99	231	ALYCIA	2	PECK	680 LINCOLN ELLSWORTH COURT	1433-MMY	Berkshire	222.06	MA	5	1224	1016	1163.29	83677	41400
11.99	232	HOPE	3	DAVID	640 CASPER COURT	8310-LAC	Ludington	141.48	OH	5	43730	2314	435.8	83537	41536
21.99	233	KORI	1	GILMORE	581 SPRUCE STREET	1504-LVK	Alna	21.99	ME	1	4535	3221	0	84364	41631
14.59	234	PALMER	4	VERA	1516 HILAND ROAD	9288-IRF	Jacksonville	205.25	VT	4	5342	436	205.25	83734	41340
13.99	235	RUBY	2	RANKIN	1154 CONCORD LANE	8894-LUR	Ridgeway	27.98	WV	1	25440	3417	824.79	83734	41651
17.99	236	MASON	3	COLE	56 BIRCH RUN CIRCLE	8439-KUP	Albany	377.83	NY	6	12244	1267	0	84219	41426
29.99	237	HORTENSIA	1	KEYES	571 MARIA COURT	5060-EDB	Port Byron	375.35	NY	4	13140	1248	1118.62	84306	41424
12.49	238	ALVIN	2	MCLEOD	1168 BEULAH CIRCLE	6350-UPP	Tampa	409.6	FL	6	33674	2681	1000.86	84334	41575
7.59	239	MIMI	3	ONEAL	1760 DANNY CIRCLE	9064-IWN	Lanham-Seabrook	202.46	MD	5	20703	1619	572.15	83621	41464
35.99	240	ZONA	1	BARROW	1944 HIGHLAND RIDGE DRIVE	3215-VIP	Lugoff	49.15	SC	2	29078	1311	392.87	84364	41431
62.99	241	MOSES	2	LUNSFORD	185 COLUMBINE PLACE	1021-MTI	Saltaire	303.86	NY	5	11706	1654	0	83677	41467
43.99	242	SHELDON	3	HODGE	1517 PARKSIDE DRIVE	6488-MIG	Tionesta	149.76	PA	2	16353	757	343.2	83763	41373
21.99	243	ISREAL	1	NOLAN	1677 AURIGA WAY	7532-PYJ	Era	569.62	OH	6	43143	2720	786.53	83565	41579
29.99	244	XIOMARA	1	VASQUEZ	1962 MORNINGTIDE COURT	9838-FUF	Jamboree	29.99	KY	1	41536	2126	677.07	84163	41516
17.99	245	SHERRILL	2	YODER	882 NORM DRIVE	2262-NBI	Warren	60.76	OH	2	44487	672	1914.74	84021	41364
38.99	246	CATHARINE	5	ROBLES	815 CEDRUS CIRCLE	5155-YQL	Montgomery	391.83	PA	4	17752	2978	1320.32	83936	41605
7.49	247	ISABEL	4	HORN	1554 MACKAY STREET	3528-GBV	Montgomery Fy	289.63	PA	5	17074	733	333.59	84021	41371
21.99	248	ROXANNE	2	CONKLIN	228 NORTHPARK DRIVE	3754-MAK	Argo Village	288.71	NY	3	11003	2740	857.27	83677	41582
43.99	249	SAMMIE	2	DAHL	373 GREY WOLF CIRCLE	6488-MIG	Showell	352.36	MD	5	21862	3142	0	83565	41622
13.59	250	LONA	5	WILLARD	1521 CLARBERT COURT	2932-PBS	Ettrick	358.02	VA	6	23803	2757	284.02	84049	41583
23.29	251	CHRISTOPER	2	NGUYEN	972 KERRY LOOP	1663-CDD	Copper Harbor	340.78	MI	6	49918	1478	424.03	83936	41449
16.99	252	DANIELLA	4	GREENWOOD	546 GOLDEN SPRING CIRCLE	5734-BGX	Christmas	67.96	MI	1	49862	3410	284.47	84334	41650
14.99	253	NUMBERS	4	LOUIS	812 BUSINESS BOULEVARD	7006-IXN	Delta	159.9	PA	3	17314	740	211.77	83649	41372
12.99	254	IRA	3	FERGUSON	1787 KICHATNA CIRCLE	9688-ZUX	Herold	66.15	WV	2	26601	923	838.33	84134	41391
25.99	255	CHANDRA	4	WALLER	266 FOXRIDGE CIRCLE	2046-RUS	Cleveland	389.53	OH	6	44123	506	0	83621	41347
10.99	256	CRISTAL	4	OBRIEN	480 KUTCHER DRIVE	5445-XOY	Arlington	188.86	VA	5	22206	1198	669.96	84078	41420
21.99	257	DARLENE	1	OCONNOR	80 DICKSON ROAD	1504-LVK	Union	129.96	OH	2	45322	3272	0	84306	41636
11.99	258	THEODORA	4	MEJIA	448 SKI ROAD	8382-HKN	Squirrel Hill	120.88	PA	3	15217	2613	1935.91	83792	41567
14.59	259	SHELBY	3	STARK	370 ALDER DRIVE	9858-XUM	Sissonville	295.66	WV	4	25320	2216	610.39	84248	41526
21.99	260	MARLIN	1	GATES	511 GEMINI DRIVE	1010-MIW	Loveland	141.52	OH	5	45140	2473	0	83792	41554
34.49	261	AUBREY	1	YARBROUGH	1637 KELSAN CIRCLE	1580-VCE	Florence Villa	193.38	FL	4	33880	1124	839.15	84021	41411
13.99	262	PHYLISS	1	KAISER	1468 TERRACE HILLS DRIVE	8894-LUR	Parkville	193.87	MD	5	21234	1754	1088.22	83593	41477
12.99	263	KEELY	1	MURPHY	1765 GLENKERRY CIRCLE	7179-YXG	Bovina	104.92	NY	3	13740	2738	1090.32	83820	41581
25.99	264	LANA	5	PAYTON	596 JOYCE ROAD	8053-PME	Buckland	510.58	MA	5	1338	2747	1000.64	84049	41582
15.59	265	CLINT	3	ROBBINS	1610 BERN STREET	2397-RDX	Mount Ulla	191.89	NC	3	28125	3043	3340.93	83763	41612
13.59	266	MELODY	4	ARELLANO	837 C STREET	9569-WMK	Duncansville	346.83	PA	5	16635	665	747.9	83593	41364
18.99	267	FELECIA	1	KEYES	1269 ELLEN CIRCLE	1485-NNI	Rootstown	228.89	OH	3	44272	630	328.78	84078	41360
15.59	268	CARY	3	GALLOWAY	1222 CAMPBELL TERRACE DRIVE	5529-SBL	Niagara	362.61	NY	5	14300	515	0	84276	41348
18.59	269	JOSEPHINA	3	MAURER	1769 LOWER DEVILS END DRIVE	6358-UST	Arnoldtown	125.72	MD	2	21718	1257	353.93	83677	41425
23.99	270	TOSHA	2	CLEVELAND	244 SEWARD SB OFF DIMOND RAMP	5595-NYE	Hartford	391.8	CT	6	6126	1059	648.64	83993	41404
8.49	271	SUNG	1	MCBRIDE	608 CONSTITUTION CIRCLE	4949-VFI	Sunnymede Woods	218.32	IN	3	46803	1351	0	84191	41435
6.59	272	MORRIS	1	NICHOLS	1432 WEST 94TH COURT	1045-DUY	Hartsfield	311.85	PA	5	16930	2403	0	83878	41546
17.99	273	TAMARA	1	MAXWELL	420 ASKELAND DRIVE	2262-NBI	Palmers Crossing	17.99	MS	1	39401	2854	826.9	84134	41593
