"CUST_BALANCE","CUST_CITY","CUST_CODE","CUST_FNAME","CUST_LNAME","CUST_STATE","CUST_STREET","CUST_ZIP","EMPLOYEE_ID","INV_DATE","INV_NUM","INV_TOTAL","LINE_NUM","LINE_PRICE","LINE_QTY","PROD_SKU"
866.75,"Williston Park",129,"MANUEL","CARROLL","NY","1768 ANCHOR PARK CIRCLE",11596,84078,41424,1241,187.87,4,11.99,5,"6651-ICK"
1945.15,"Mount Ayr",130,"REYES","MANUEL","IN","1180 NIKITA DRIVE",47964,83537,41585,2781,94.95,1,18.99,5,"1485-NNI"
1397.44,"Montezuma",131,"SAL","WHALEY","GA","1715 ADAK CIRCLE",31063,84078,41390,912,81.55,2,15.29,4,"2068-TSC"
2015.62,"Reading",132,"JANIS","DUBOIS","PA","563 BENTREE CIRCLE",19606,84364,41555,2490,323.89,3,17.99,5,"9484-UTK"
0,"Parks Crossroads",133,"RASHIDA","MEDINA","NC","1440 ORCA STREET",27316,83677,41486,1835,77.98,1,38.99,2,"2496-QMW"
2442.72,"Huntington",134,"LES","SOLOMON","WV","1815 BIRCHBARK AVENUE",25708,84163,41586,2784,13.99,1,13.99,1,"9268-RCB"
1053.95,"Winding Gulf",135,"CHRISTINE","CAMACHO","WV","885 KILKERRY CIRCLE",25908,83677,41594,2872,133.94,2,18.99,2,"5046-TTC"
2256.41,"Edenton",136,"SID","WELSH","NC","1932 CRISWELL CIRCLE",27932,83621,41460,1581,349.43,6,15.59,4,"4260-FGB"
604.69,"Butlerville",137,"CONNIE","VELASQUEZ","IN","1302 NORMANSHIRE COURT",47223,83705,41409,1104,34.16,3,7.79,2,"3343-DJU"
1339.61,"Foxborough",138,"MALIK","MORELAND","MA","1807 FOREST PARK DRIVE",2035,84106,41424,1242,170.93,2,23.99,4,"7500-ROG"
3099.1,"New York",139,"LAVINA","CORNELL","NY","137 BRIAR LOOP",10130,84276,41533,2280,207.24,6,6.59,2,"8544-CIQ"
0,"Greensboro",140,"CHRISTOPER","OAKES","GA","1719 NORMANSHIRE COURT",30642,83993,41651,3414,97.93,2,29.99,2,"2384-PGY"
780.09,"Baltimore",141,"ART","ALVARADO","MD","603 FINE ARTS LANE",21214,83734,41399,1003,172.95,2,48.59,3,"6894-JQV"
0,"Millers Tavern",142,"DIAN","DUKE","VA","1861 BRENDL WAY",23115,84248,41443,1426,196.53,2,23.29,2,"1663-CDD"
810.87,"Fernandina Beach",143,"MOHAMMED","RANKIN","FL","13 LINDA JO CIRCLE",32035,83621,41336,401,141.52,3,20.99,5,"1200-KBU"
0,"Sea Bright",144,"FRANCESCO","GOOD","NJ","1894 MOUNT KILIAK CIRCLE",7760,84364,41534,2290,181.17,4,11.99,3,"8382-HKN"
0,"Independence",145,"GEORGIANNA","GIBBONS","WV","55 GENEVA PLACE",26374,84163,41580,2728,23.98,1,11.99,2,"3943-HFA"
964.5,"Silver Spring",146,"JULIA","GREENBERG","MD","1416 TALL SPRUCE DRIVE",20902,83763,41476,1745,446.8,6,34.49,4,"1580-VCE"
1383.62,"Bear Branch",147,"ZACHARIAH","CORREA","KY","261 FISHER DRIVE",41714,84106,41436,1356,216.57,4,6.99,3,"6451-KGJ"
2421.49,"Porter",148,"MAYA","ELLIOT","PA","1991 OAK KNOLL DRIVE",17980,83565,41647,3380,65.98,1,32.99,2,"2766-EYO"
0,"Leetonia",149,"LENARD","FARR","PA","1311 CAPTAIN COOK DRIVE",17727,83820,41607,2998,150.88,3,10.99,4,"5587-PIP"
997.41,"Paul",150,"AMY","CHO","MS","1540 MARGE COURT",38920,83820,41494,1915,75.95,2,10.99,4,"7258-HCV"
1009.5,"Cornish",151,"MARGUERITE","PUTNAM","NH","427 SAN ROBERTO AVENUE",3745,84306,41395,967,53.55,2,9.99,4,"6596-HOO"
3322.63,"Montgomery",152,"LISETTE","WHITTAKER","AL","339 NORTHPARK DRIVE",36197,83677,41597,2894,139.22,4,31.99,1,"5980-BME"
525.22,"Walkertown",153,"JEREMY","TOBIN","KY","46 BARBOA CIRCLE",41701,83964,41399,1000,114.95,3,34.49,2,"5213-YTB"
1326.23,"Panola",154,"DORENE","WARD","SC","1363 HEIDE DRIVE",29125,84191,41603,2958,69.95,1,13.99,5,"5250-JDL"
0,"Lakin",155,"MARANDA","HINKLE","WV","301 VALARIAN STREET",25250,84163,41552,2461,51.18,1,25.59,2,"9857-ESX"
602.18,"Princess House",156,"JONAS","BARRERA","NC","246 CARLINE CIRCLE",27094,83649,41417,1176,463.45,5,14.59,2,"9671-NYZ"
1708.86,"Hancock",157,"ROSALINE","BENSON","NH","1590 NANTUCKET LOOP",3449,84106,41562,2555,181.06,4,10.99,4,"7258-HCV"
905.78,"Bayside Beach",158,"SHANELL","KOEHLER","MD","1051 PLATSEK DRIVE",21122,83792,41554,2474,97.6,4,12.39,1,"2584-CIJ"
3667.46,"Austerlitz",159,"GRACE","SALTER","NY","612 LORI DRIVE",12017,84276,41464,1623,401.18,6,43.99,3,"7224-FEU"
0,"Columbia",160,"JUDI","FISHER","PA","1421 WELLSLEY COURT",17512,83565,41391,926,306.17,6,14.59,5,"9288-IRF"
837.11,"Dayton",161,"HORTENCIA","HINKLE","OH","1762 KNIK AVENUE",45454,83850,41450,1484,6.58,1,3.29,2,"8937-WVA"
1221.04,"West Neck",162,"LOUISA","REAGAN","NY","784 LITTLE CAPE CIRCLE",11743,83621,41639,3303,246.77,4,12.99,3,"4812-VNN"
839.09,"Britinay",163,"MALISSA","ACEVEDO","MD","159 BAXTER TERRACE CIRCLE",21234,83621,41628,3196,116.3,3,13.59,2,"6626-ROK"
1325.97,"Lake Buena Vista",164,"MERLE","GUNTER","FL","355 SEWARD SB OFF DIMOND RAMP",32830,83621,41601,2941,16.99,1,16.99,1,"8170-EKF"
459.57,"Lafayette",165,"MOHAMED","RAMSEY","VA","1958 IRIS STREET",24087,83763,41407,1091,188.7,4,17.79,1,"4153-VMO"
1136.24,"Centreville",166,"EARTHA","MONROE","MD","1942 REVILLA CIRCLE",21617,84392,41624,3158,376.61,5,14.99,5,"7006-IXN"
124.75,"Capitol",167,"EVETTE","PERRY","VA","986 LAMPERT CIRCLE",23207,84306,41533,2288,57.95,1,11.59,5,"6925-KDN"
2735.75,"Prompton",168,"WINIFRED","WOODWARD","PA","594 QUEST CIRCLE",18456,84219,41487,1843,502.94,6,19.99,5,"7658-HCW"
1223.5,"Higdon",169,"ROSS","LANG","AL","1991 EASTWIND COURT",35979,84392,41592,2851,177.31,2,20.59,5,"3701-YAW"
3139.06,"East Calais",170,"WILBER","MURPHY","VT","901 GIDDEON CIRCLE",5640,84163,41468,1661,392.87,4,42.99,4,"1403-TUY"
1258.93,"Asher Glade",171,"COREY","BURKETT","MD","873 EAST 48TH AVENUE",21531,83537,41443,1422,226.88,4,20.99,3,"1200-KBU"
15.28,"Savannah",172,"DARREL","DWYER","GA","1914 GLACIER LOOP ROAD",31401,84392,41496,1940,38.97,1,12.99,3,"5653-RTU"
3509.31,"Enka Village",173,"INGRID","HARDY","NC","479 WALDORF WOODS DRIVE",28728,83850,41572,2658,310.27,5,48.59,3,"9126-PWF"
684.82,"Riley",174,"DANIELA","MOON","IN","1181 TOLSONA CIRCLE",47871,84334,41611,3031,148.44,3,17.99,4,"9484-UTK"
1333.64,"Baton",175,"DORCAS","DUNLAP","NC","1157 BOWEN CIRCLE",28630,83906,41500,1976,360.96,4,16.99,2,"2990-BNH"
0,"Mausdale",176,"TRENTON","WINN","PA","251 KIRBY PLACE",17821,84306,41526,2220,138.22,4,21.99,1,"1010-MIW"
0,"Youngstown",177,"IGNACIO","HAGAN","OH","1704 KALGIN STREET",44599,84049,41494,1917,180.69,4,23.99,1,"7231-UES"
0,"Pgh",178,"RHONDA","STROUD","PA","95 SNOWBIRD DRIVE",15204,84078,41619,3106,87.55,2,9.89,2,"2407-SUX"
3411.9,"Toledo",179,"SEAN","MAYBERRY","OH","943 WHITE BIRCH LANE",43603,83878,41462,1601,89.93,2,12.99,5,"3585-MCJ"
895.56,"Laurel Hollow",180,"KASSANDRA","OWENS","NY","1173 SKOOKUM ROAD",11724,84276,41544,2383,285.59,6,8.99,3,"5465-YYG"
0,"Fork",181,"RICH","COKER","SC","1156 RIDGELAKE CIRCLE",29543,84191,41626,3174,229.91,2,21.99,5,"7532-PYJ"
394.39,"Cold Spring Highland Heights",182,"NILA","VALENCIA","KY","1709 CAMAI CIRCLE",41076,83593,41504,2012,311.39,4,23.29,2,"1074-VVJ"
691.34,"Putnam",183,"AURORA","QUINONES","VA","869 MORNING DRIVE",24260,83792,41565,2589,50.97,1,16.99,3,"2990-BNH"
443.37,"Allred",184,"DONG","MACIAS","TN","265 SUNNY CIRCLE",38542,83537,41442,1412,410.21,6,7.99,4,"2129-BCP"
3312.59,"Rockville Center",185,"IRVIN","SIZEMORE","NY","1193 CHENA AVENUE",11571,84306,41468,1662,259.1,3,32.99,4,"2766-EYO"
1672.7,"Audubon",186,"CARLTON","ROLAND","NJ","1067 CHUGIAK DRIVE",8106,83705,41634,3256,353.71,5,29.99,2,"9838-FUF"
0,"Vine Grove",187,"DOTTIE","SEAY","KY","1311 FALLOW CIRCLE",40175,83763,41518,2146,31.18,1,15.59,2,"7260-YDI"
1967.38,"Pinegrove",188,"LUANNE","GOODWIN","AL","293 KIANA AVENUE",36507,83593,41497,1951,202.41,6,10.99,2,"2006-ZBH"
381.77,"Newton",189,"DELFINA","MCWILLIAMS","MA","1453 JESTERS CIRCLE",2195,83964,41549,2438,418.92,6,3.29,3,"8937-WVA"
383.81,"Silver Spring",190,"DELMER","GRUBBS","MD","1497 KING ARTHUR CIRCLE",20908,84420,41635,3266,173.89,3,11.99,5,"9336-MHC"
1233.64,"Leicester",191,"SHIRLEY","SPRAGUE","NC","621 BAIRD CIRCLE",28748,83820,41565,2597,220.49,4,14.99,3,"7006-IXN"
1401.09,"Hinmans Corners",192,"PHILIP","GOFF","NY","1683 GLENKERRY CIRCLE",13905,83763,41460,1580,394.52,6,15.89,1,"2134-QFE"
0,"Wissinoming",193,"LAVON","CALHOUN","PA","4 KIRK AVENUE",19135,84021,41528,2240,56.36,2,15.59,1,"7804-ZVW"
1269.96,"Brooklyn",194,"JORGE","MILLER","NY","1998 EAST PRINCE OF PEACE DRIVE",11230,83677,41564,2584,385.87,3,23.59,5,"1198-STR"
0,"Wallis Run",195,"SHERRYL","KEENAN","PA","442 DOLLY AVENUE",17771,83964,41563,2574,166.9,5,17.99,1,"2262-NBI"
645.52,"Alexandria",196,"DULCE","RICHTER","VA","45 CRETE STREET",22306,83993,41630,3212,398.08,6,20.59,5,"3701-YAW"
3737.9,"Colesville",197,"XAVIER","CARDENAS","MD","1756 GILL WAY",20914,83677,41466,1644,342.64,6,13.59,3,"2379-PCX"
1215.58,"Clayton",198,"IOLA","ALEXANDER","MI","859 RIL WAY",49235,84163,41558,2514,325.88,4,29.99,2,"5060-EDB"
1096.65,"Sacandaga",199,"SHERMAN","OTT","NY","351 REEF PLACE",12134,83820,41590,2825,459.63,5,36.99,5,"3716-WZD"
1098.52,"Newton",200,"ANITA","CONKLIN","MA","1044 CORAL REEF PLACE",2195,83565,41550,2445,213.38,3,15.79,5,"8909-SPD"
1525.1,"Mccordsville",201,"IMELDA","FIGUEROA","IN","1413 GALATEA DRIVE",46055,83878,41485,1829,605.6,6,13.99,2,"8894-LUR"
1111.92,"Largo",202,"SELINA","TANNER","FL","1352 ATKINSON DRIVE",34649,83906,41590,2828,310.21,6,7.59,4,"2231-OXK"
915.36,"South Royalston",203,"NICKOLAS","STACY","MA","1916 REGINA CIRCLE",1331,83993,41537,2323,487.62,5,12.59,5,"1838-LZI"
202.06,"Diamond",204,"TITUS","MCCLURE","NY","439 EMERALD DRIVE",13659,84078,41633,3241,133.89,3,13.99,4,"9268-RCB"
839.7,"Apple Valley",205,"VERA","CALLAHAN","OH","797 NORTHERN RAVEN DRIVE",43028,83734,41642,3340,220.86,5,19.99,1,"9133-OXA"
567.85,"Smithfield",206,"DENNY","CHANDLER","WV","547 DIMOND D CIRCLE",26437,83649,41522,2177,111.95,3,13.99,1,"5250-JDL"
2939.47,"Old Orchard",207,"MARILYN","SMALLWOOD","MD","1169 MEADOW STREET",21228,83878,41550,2442,445.23,4,29.99,5,"5642-IDA"
0,"Green Lane",208,"VILMA","DENNY","PA","1520 ABBOTT ROAD",18054,84334,41372,745,241.78,6,32.89,1,"6109-ZZO"
1990.51,"Wallingford",209,"SIDNEY","CARR","CT","570 CANTERBURY WAY",6493,83649,41518,2144,344.62,5,22.59,4,"6249-NDN"
0,"Cinda",210,"JANNETTE","HARMON","KY","620 KILOANA CIRCLE",41728,84248,41497,1947,34.58,1,17.29,2,"5659-BFS"
0,"Oswegatchie",211,"GERALD","CAUDILL","NY","1622 NORTH BLISS STREET",13670,83677,41606,2990,286.47,4,32.99,1,"2833-LIV"
0,"Twin Branch",212,"HANNAH","JARRETT","WV","1589 WEST 43RD AVENUE",24889,84163,41616,3078,184.29,3,3.99,4,"1747-XNI"
1326.92,"Clearwater",213,"SAMMY","GALLAGHER","SC","206 EAGLE STREET",29822,83993,41535,2305,226.13,3,48.59,1,"9126-PWF"
0,"Bangor",214,"ROSEANN","THORPE","PA","472 OXBOW CIRCLE",18010,83820,41600,2924,149.95,1,29.99,5,"4045-HUC"
3453.84,"Lake City",215,"CHARMAINE","BRYAN","GA","1181 LAURENCE COURT",30260,83705,41653,3435,242.95,1,48.59,5,"6894-JQV"
675.43,"Laurel Bay",216,"CATHI","PUCKETT","SC","654 KALKA CIRCLE",29902,84049,41514,2107,458.38,6,38.99,4,"6865-HAO"
1029.4,"Alafaya",217,"TYRON","HOLLINGSWORTH","FL","1863 TRAIL STREET",32834,83936,41607,3000,27.18,1,13.59,2,"2379-PCX"
1355.29,"Phenix City",218,"LUPE","SANTANA","AL","1292 WEST 70TH PLACE",36867,84392,41578,2712,270.07,6,23.29,2,"1663-CDD"
259.61,"Huntsville",219,"CATHI","WHITEHEAD","AL","760 WOODCLIFF DRIVE",35893,83537,41597,2895,273.23,4,13.59,5,"7355-WBT"
2187.26,"Sharpes",220,"ABRAHAM","PLATT","FL","1859 GINGER LEE DRIVE",32959,84334,41539,2338,691.01,6,34.49,5,"8207-YYG"
282.02,"New Lancaster",221,"DALTON","STAPLES","IN","673 SUGAR CIRCLE",46036,84364,41611,3030,158.32,2,17.99,4,"9484-UTK"
795.1,"Hecla",222,"DARELL","HAGAN","PA","1066 GINGER LEE DRIVE",17960,84219,41412,1130,315.04,5,16.99,4,"3258-RVB"
357.75,"Eldora",223,"ALPHA","OSBORN","NJ","1850 W STREET",8270,84364,41417,1171,84.95,1,16.99,5,"8170-EKF"
0,"Knightdale",224,"REID","BURNETTE","NC","486 DICKSON ROAD",27545,83537,41494,1916,220.21,6,6.59,2,"2366-EFV"
1532.26,"Prompton",225,"CHRISTI","CLARK","PA","546 ANSEL CIRCLE",18456,83565,41596,2889,33.48,2,3.49,1,"4667-JLN"
0,"North Tisbury",226,"SHELBY","SALAS","MA","486 SUSITNA VIEW COURT",2568,83705,41506,2038,526.65,6,23.99,2,"3955-NWD"
3760.96,"Cabin Creek",227,"KATIE","HEARN","WV","1726 MERE CIRCLE",25035,83677,41432,1320,288.99,4,10.99,1,"5445-XOY"
1282.45,"Pitt",228,"JAUNITA","FOOTE","PA","58 ATLANTIS AVENUE",15209,84219,41549,2432,98.34,2,13.59,4,"6626-ROK"
1050.75,"Putnam",229,"ERNESTINE","LOZANO","MD","17 BEN COURT",21050,84021,41467,1652,305.09,5,3.99,5,"3274-XJX"
1786.51,"Susan",230,"MARCIE","CHILDERS","VA","936 UNIVERSITY LAKE DRIVE",23163,83936,41402,1035,190.69,6,17.99,4,"2262-NBI"
1163.29,"Berkshire",231,"ALYCIA","PECK","MA","680 LINCOLN ELLSWORTH COURT",1224,83677,41400,1016,222.06,5,23.99,2,"1433-MMY"
435.8,"Ludington",232,"HOPE","DAVID","OH","640 CASPER COURT",43730,83537,41536,2314,141.48,5,11.99,3,"8310-LAC"
0,"Alna",233,"KORI","GILMORE","ME","581 SPRUCE STREET",4535,84364,41631,3221,21.99,1,21.99,1,"1504-LVK"
205.25,"Jacksonville",234,"PALMER","VERA","VT","1516 HILAND ROAD",5342,83734,41340,436,205.25,4,14.59,4,"9288-IRF"
824.79,"Ridgeway",235,"RUBY","RANKIN","WV","1154 CONCORD LANE",25440,83734,41651,3417,27.98,1,13.99,2,"8894-LUR"
0,"Albany",236,"MASON","COLE","NY","56 BIRCH RUN CIRCLE",12244,84219,41426,1267,377.83,6,17.99,3,"8439-KUP"
1118.62,"Port Byron",237,"HORTENSIA","KEYES","NY","571 MARIA COURT",13140,84306,41424,1248,375.35,4,29.99,1,"5060-EDB"
1000.86,"Tampa",238,"ALVIN","MCLEOD","FL","1168 BEULAH CIRCLE",33674,84334,41575,2681,409.6,6,12.49,2,"6350-UPP"
572.15,"Lanham-Seabrook",239,"MIMI","ONEAL","MD","1760 DANNY CIRCLE",20703,83621,41464,1619,202.46,5,7.59,3,"9064-IWN"
392.87,"Lugoff",240,"ZONA","BARROW","SC","1944 HIGHLAND RIDGE DRIVE",29078,84364,41431,1311,49.15,2,35.99,1,"3215-VIP"
0,"Saltaire",241,"MOSES","LUNSFORD","NY","185 COLUMBINE PLACE",11706,83677,41467,1654,303.86,5,62.99,2,"1021-MTI"
343.2,"Tionesta",242,"SHELDON","HODGE","PA","1517 PARKSIDE DRIVE",16353,83763,41373,757,149.76,2,43.99,3,"6488-MIG"
786.53,"Era",243,"ISREAL","NOLAN","OH","1677 AURIGA WAY",43143,83565,41579,2720,569.62,6,21.99,1,"7532-PYJ"
677.07,"Jamboree",244,"XIOMARA","VASQUEZ","KY","1962 MORNINGTIDE COURT",41536,84163,41516,2126,29.99,1,29.99,1,"9838-FUF"
1914.74,"Warren",245,"SHERRILL","YODER","OH","882 NORM DRIVE",44487,84021,41364,672,60.76,2,17.99,2,"2262-NBI"
1320.32,"Montgomery",246,"CATHARINE","ROBLES","PA","815 CEDRUS CIRCLE",17752,83936,41605,2978,391.83,4,38.99,5,"5155-YQL"
333.59,"Montgomery Fy",247,"ISABEL","HORN","PA","1554 MACKAY STREET",17074,84021,41371,733,289.63,5,7.49,4,"3528-GBV"
857.27,"Argo Village",248,"ROXANNE","CONKLIN","NY","228 NORTHPARK DRIVE",11003,83677,41582,2740,288.71,3,21.99,2,"3754-MAK"
0,"Showell",249,"SAMMIE","DAHL","MD","373 GREY WOLF CIRCLE",21862,83565,41622,3142,352.36,5,43.99,2,"6488-MIG"
284.02,"Ettrick",250,"LONA","WILLARD","VA","1521 CLARBERT COURT",23803,84049,41583,2757,358.02,6,13.59,5,"2932-PBS"
424.03,"Copper Harbor",251,"CHRISTOPER","NGUYEN","MI","972 KERRY LOOP",49918,83936,41449,1478,340.78,6,23.29,2,"1663-CDD"
284.47,"Christmas",252,"DANIELLA","GREENWOOD","MI","546 GOLDEN SPRING CIRCLE",49862,84334,41650,3410,67.96,1,16.99,4,"5734-BGX"
211.77,"Delta",253,"NUMBERS","LOUIS","PA","812 BUSINESS BOULEVARD",17314,83649,41372,740,159.9,3,14.99,4,"7006-IXN"
838.33,"Herold",254,"IRA","FERGUSON","WV","1787 KICHATNA CIRCLE",26601,84134,41391,923,66.15,2,12.99,3,"9688-ZUX"
0,"Cleveland",255,"CHANDRA","WALLER","OH","266 FOXRIDGE CIRCLE",44123,83621,41347,506,389.53,6,25.99,4,"2046-RUS"
669.96,"Arlington",256,"CRISTAL","OBRIEN","VA","480 KUTCHER DRIVE",22206,84078,41420,1198,188.86,5,10.99,4,"5445-XOY"
0,"Union",257,"DARLENE","OCONNOR","OH","80 DICKSON ROAD",45322,84306,41636,3272,129.96,2,21.99,1,"1504-LVK"
1935.91,"Squirrel Hill",258,"THEODORA","MEJIA","PA","448 SKI ROAD",15217,83792,41567,2613,120.88,3,11.99,4,"8382-HKN"
610.39,"Sissonville",259,"SHELBY","STARK","WV","370 ALDER DRIVE",25320,84248,41526,2216,295.66,4,14.59,3,"9858-XUM"
0,"Loveland",260,"MARLIN","GATES","OH","511 GEMINI DRIVE",45140,83792,41554,2473,141.52,5,21.99,1,"1010-MIW"
839.15,"Florence Villa",261,"AUBREY","YARBROUGH","FL","1637 KELSAN CIRCLE",33880,84021,41411,1124,193.38,4,34.49,1,"1580-VCE"
1088.22,"Parkville",262,"PHYLISS","KAISER","MD","1468 TERRACE HILLS DRIVE",21234,83593,41477,1754,193.87,5,13.99,1,"8894-LUR"
1090.32,"Bovina",263,"KEELY","MURPHY","NY","1765 GLENKERRY CIRCLE",13740,83820,41581,2738,104.92,3,12.99,1,"7179-YXG"
1000.64,"Buckland",264,"LANA","PAYTON","MA","596 JOYCE ROAD",1338,84049,41582,2747,510.58,5,25.99,5,"8053-PME"
